,empty_slots,free_bikes,id,latitude,longitude,name,timestamp,id_name,extra.address,extra.last_updated,extra.payment,extra.payment-terminal,extra.renting,extra.returning,extra.uid,extra.ebikes,extra.has_ebikes,extra.bike_uids,extra.number,extra.slots
4460,1,0,b483c6ec589b8102692a9a4edaca2249,41.720921,-87.669585,Public Rack - Longwood Dr & 95th St,2022-10-30T00:57:54.766000Z,divvy,"1841-1855, West 95th Street, Beverly, Chicago, Lake Township, Cook County, Illinois, 60617, United States",1662485908.0,,,1.0,1.0,1674190454295374620,0.0,True,,,
4461,2,0,a08ee328660621b0d3f29fdaeb4f31fd,41.702609,-87.681492,Public Rack - Western Ave & 105th St,2022-10-30T00:57:54.985000Z,divvy,"Western & 105th Street SB, South Western Avenue, Beverly, Chicago, Lake Township, Cook County, Illinois, 60643, United States",1662512843.0,,,1.0,1.0,1674190664748772492,0.0,True,,,
4462,0,0,60442cff24af4f95a9f77d0bcbf3ec57,41.895201,-87.721541,Public Rack - Hamlin Ave & Chicago Ave,2022-10-30T00:57:54.379000Z,divvy,"3805, West Chicago Avenue, Humboldt Park, Chicago, Cook County, Illinois, 60651, United States",1662499674.0,,,1.0,1.0,1674190325446355528,0.0,True,,,
4463,1,0,b966f2cc01c06827f808b509b02a697e,41.997575,-87.704649,Public Rack - Sacramento Ave & Devon Ave,2022-10-30T00:57:56.140000Z,divvy,"3000-3004, West Devon Avenue, West Ridge, Chicago, Rogers Park Township, Cook County, Illinois, 60645, United States",1662511436.0,,,1.0,1.0,1674190604619230230,0.0,True,,,
4464,1,1,b17917f11db34bb14450f9f5c6d2114e,42.012344,-87.695383,Public Rack - Rockwell Ave & Touhy Ave ,2022-10-30T00:57:55.516000Z,divvy,"2606-2608, West Touhy Avenue, West Ridge, Chicago, Rogers Park Township, Cook County, Illinois, 60645, United States",1662511412.0,,,1.0,1.0,1673852330577033842,1.0,True,,,
4465,1,0,5711ea71b7375499bcee0351a96c3db1,41.76335,-87.637499,Public Rack - Hamilton Park,2022-10-30T00:57:55.302000Z,divvy,"Hamilton Park Fieldhouse, 513, West 72nd Street, Greater Grand Crossing, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",1662484796.0,,,1.0,1.0,1674190325446355526,0.0,True,,,
4466,2,0,84aee9273c4585b3f7f328f819b1c0cd,41.852642,-87.72103,Public Rack - Avers Ave & Ogden Ave,2022-10-30T00:57:56.189000Z,divvy,"2112, South Avers Avenue, North Lawndale, Chicago, Cook County, Illinois, 60623, United States",1662498725.0,,,1.0,1.0,1674190183712434508,0.0,True,,,
4467,2,0,5875d517f5524ded5ccd7040e666748a,41.704366,-87.681733,Public Rack - Western Ave & 104th St - East,2022-10-30T00:57:56.263000Z,divvy,"10400-10402, South Western Avenue, Beverly, Chicago, Lake Township, Cook County, Illinois, 60643, United States",1662512824.0,,,1.0,1.0,1674190660453805190,0.0,True,,,
4468,1,0,b0f0aa0463126da7b991844febebf995,41.70794,-87.643177,Public Rack - Halsted St & 102nd St,2022-10-30T00:57:54.389000Z,divvy,"10222-10224, South Halsted Street, Washington Heights, Chicago, Lake Township, Cook County, Illinois, 60628, United States",1662484724.0,,,1.0,1.0,1674190312561453608,0.0,True,,,
4469,1,0,4e8d3fc6f80ee6b33919ace50ab28a37,41.651419,-87.547321,Public Rack - Baltimore Ave & 134th St,2022-10-30T00:57:54.603000Z,divvy,"Aniol's True Value Hardware, 13416, South Baltimore Avenue, Hegewisch, Chicago, Hyde Park Township, Cook County, Illinois, 60633, United States",1662483081.0,,,1.0,1.0,1674190196597336406,0.0,True,,,
